Date,Open,High,Low,Close,Adj Close,Volume
2021-02-27,0.477797,0.491162,0.454819,0.458971,0.458971,2260551
2021-02-28,0.458869,0.461107,0.402065,0.419780,0.419780,2316847
2021-03-01,0.419846,0.458372,0.395229,0.456762,0.456762,2282676
2021-03-02,0.456753,0.475271,0.353106,0.381507,0.381507,2377676
2021-03-03,0.381510,0.405617,0.371476,0.392301,0.392301,2198690
2021-03-04,0.392285,0.401441,0.343301,0.349971,0.349971,3018714
2021-03-05,0.349502,0.352489,0.306827,0.312831,0.312831,2451535
2021-03-06,0.312860,0.317659,0.288571,0.303116,0.303116,3038103
2021-03-07,0.303310,0.334341,0.284206,0.318408,0.318408,3077642
2021-03-08,0.318361,0.332930,0.288745,0.332148,0.332148,3107899
2021-03-09,0.331979,0.450785,0.329461,0.440063,0.440063,2248500
2021-03-10,0.440066,0.441797,0.415409,0.417000,0.417000,2499962
2021-03-11,0.416955,0.420218,0.373553,0.408438,0.408438,2363175
2021-03-12,0.408452,0.414078,0.373660,0.406788,0.406788,1896852
2021-03-13,0.406770,0.412546,0.384233,0.389784,0.389784,2500432
2021-03-14,0.389750,0.397670,0.364479,0.381656,0.381656,2354934
2021-03-15,0.381528,0.389706,0.348859,0.361067,0.361067,2343433
2021-03-16,0.361075,0.371970,0.349246,0.359957,0.359957,1767922
2021-03-17,0.359966,0.364996,0.354591,0.358595,0.358595,4460205
2021-03-18,0.358614,0.375049,0.354056,0.366861,0.366861,4318103
2021-03-19,0.366824,0.409609,0.355510,0.409490,0.409490,4555938
2021-03-20,0.409455,0.438150,0.404973,0.433334,0.433334,4963857
2021-03-21,0.433330,0.433330,0.394015,0.395971,0.395971,4638635
2021-03-22,0.396004,0.448738,0.392209,0.432149,0.432149,4957916
2021-03-23,0.432176,0.447546,0.421383,0.438900,0.438900,5250646
2021-03-24,0.438925,0.569979,0.435912,0.526795,0.526795,6731459
2021-03-25,0.526789,0.550559,0.475675,0.482219,0.482219,6140363
2021-03-26,0.482212,0.657936,0.473538,0.655650,0.655650,6892708
2021-03-27,0.655575,0.689904,0.637722,0.673138,0.673138,6915423
2021-03-28,0.673133,0.713338,0.643780,0.712248,0.712248,6766061
2021-03-29,0.712195,0.757050,0.653674,0.720108,0.720108,7827784
2021-03-30,0.720122,0.732555,0.634366,0.641758,0.641758,9278821
2021-03-31,0.641801,0.645134,0.610167,0.628724,0.628724,8996234
2021-04-01,0.628742,0.644551,0.572187,0.581204,0.581204,9032486
2021-04-02,0.581160,0.592859,0.517806,0.531224,0.531224,6151125
2021-04-03,0.531214,0.532121,0.487744,0.489930,0.489930,4806196
2021-04-04,0.489858,0.515596,0.475930,0.482333,0.482333,4210162
2021-04-05,0.482381,0.522847,0.472936,0.517232,0.517232,4363293
2021-04-06,0.514974,0.548716,0.511647,0.534529,0.534529,4609342
2021-04-07,0.534410,0.535592,0.466689,0.476627,0.476627,4615261
2021-04-08,0.476422,0.510956,0.468299,0.495207,0.495207,4239187
2021-04-09,0.495220,0.526650,0.480142,0.517995,0.517995,5092349
2021-04-10,0.518156,0.526602,0.495287,0.504702,0.504702,4687243
2021-04-11,0.504703,0.519017,0.469190,0.505403,0.505403,5029830
2021-04-12,0.505398,0.507269,0.445056,0.457760,0.457760,4826051
2021-04-13,0.457699,0.458687,0.434490,0.437227,0.437227,3708723
2021-04-14,0.434864,0.474100,0.409629,0.471054,0.471054,3727280
2021-04-15,0.471070,0.489387,0.425306,0.484684,0.484684,4422793
2021-04-16,0.484593,0.529404,0.460455,0.480446,0.480446,4293791
2021-04-17,0.480319,0.600721,0.457254,0.584720,0.584720,5701280
2021-04-18,0.584816,0.585104,0.498496,0.544403,0.544403,5391564
2021-04-19,0.544506,0.579780,0.515169,0.523779,0.523779,4945391
2021-04-20,0.523563,0.523563,0.479335,0.517989,0.517989,4677613
2021-04-21,0.518070,0.530927,0.485762,0.488783,0.488783,4829024
2021-04-22,0.488780,0.510984,0.484096,0.494800,0.494800,5176062
2021-04-23,0.494848,0.496313,0.409792,0.448630,0.448630,5267216
2021-04-24,0.448619,0.449778,0.420131,0.420200,0.420200,4795427
2021-04-25,0.420194,0.426545,0.402134,0.404108,0.404108,4546161
2021-04-26,0.404155,0.481140,0.403622,0.474616,0.474616,5770443
2021-04-27,0.474594,0.497238,0.474594,0.494415,0.494415,5413946
2021-04-28,0.494398,0.504268,0.462246,0.470490,0.470490,5382474
2021-04-29,0.470505,0.482226,0.439996,0.459193,0.459193,4506542
2021-04-30,0.459189,0.473218,0.443078,0.454446,0.454446,4260782
2021-05-01,0.454527,0.472727,0.437101,0.444257,0.444257,3935544
2021-05-02,0.444277,0.444736,0.409169,0.427927,0.427927,4286054
2021-05-03,0.427974,0.453598,0.422386,0.449922,0.449922,4223396
2021-05-04,0.450004,0.450396,0.407145,0.408269,0.408269,3890846
2021-05-05,0.408396,0.426603,0.407612,0.423366,0.423366,4538440
2021-05-06,0.423232,0.447183,0.414387,0.444233,0.444233,5076639
2021-05-07,0.444384,0.481799,0.438500,0.463431,0.463431,5167863
2021-05-08,0.463516,0.472359,0.458030,0.469853,0.469853,4547500
2021-05-09,0.469769,0.475758,0.447899,0.451092,0.451092,4652824
2021-05-10,0.451116,0.487565,0.449727,0.470895,0.470895,4927617
2021-05-11,0.470968,0.497856,0.432290,0.480426,0.480426,5635625
2021-05-12,0.480341,0.493812,0.436552,0.436784,0.436784,4797862
2021-05-13,0.435686,0.436790,0.384133,0.406989,0.406989,4738298
2021-05-14,0.407279,0.415993,0.381092,0.408604,0.408604,4438248
2021-05-15,0.408676,0.417331,0.376878,0.386600,0.386600,4135446
2021-05-16,0.385940,0.388381,0.362605,0.367039,0.367039,3777541
2021-05-17,0.367012,0.367707,0.027269,0.054531,0.054531,3429154
2021-05-18,0.054509,0.069255,0.015560,0.061500,0.061500,1423394
2021-05-19,0.061503,0.072565,0.059736,0.072565,0.072565,805125
2021-05-20,0.072563,0.421130,0.071906,0.251480,0.251480,1180731
2021-05-21,0.229713,1.862972,0.167714,1.314351,1.314351,7219285
2021-05-22,1.334631,4.374827,1.098109,1.592163,1.592163,6529057
2021-05-23,1.593662,1.659753,0.542751,0.791480,0.791480,1882685
2021-05-24,0.793161,1.037693,0.539042,0.619265,0.619265,1384184
2021-05-25,0.619312,0.653631,0.389265,0.396348,0.396348,945439
2021-05-26,0.395937,0.537525,0.305976,0.434708,0.434708,1061651
2021-05-27,0.434681,1.119162,0.385944,0.775913,0.775913,2191318
2021-05-28,0.774450,1.148633,0.746135,0.882833,0.882833,1870858
2021-05-29,0.885031,0.969369,0.540457,0.543507,0.543507,1019425
2021-05-30,0.543270,0.559925,0.395340,0.448351,0.448351,918556
2021-05-31,0.448473,0.494528,0.392680,0.401522,0.401522,888474
2021-06-01,0.401966,0.443287,0.275040,0.275401,0.275401,789132
2021-06-02,0.275647,0.352993,0.253228,0.331157,0.331157,853479
2021-06-03,0.331175,0.331400,0.264725,0.304398,0.304398,826442
2021-06-04,0.304314,0.322559,0.255971,0.257887,0.257887,803771
